날짜,미세먼지(PM-10),소음(db),습도(%),온도(℃),초미세먼지(PM-2.5),PM10단계,PM25단계
2018-04-02 12,74.37,49.21,45.34,22.52,25.41,보통,보통
2018-04-02 13,77.6,49.25,41.84,23.43,25.53,보통,보통
2018-04-02 14,76.97,49.35,36.35,24.62,28.74,보통,보통
2018-04-02 15,75.36,49.37,37.62,24.7,33.41,보통,보통
2018-04-02 16,73.52,49.51,40.93,24.05,32.81,보통,보통
2018-04-02 17,76.77,49.36,44.66,22.7,31.81,보통,보통
2018-04-02 18,75.32,49.14,50.1,21.21,31.58,보통,보통
2018-04-02 19,62.28,48.88,53.85,20.3,23.95,보통,보통
2018-04-02 20,59.81,48.66,56.7,19.78,21.75,보통,보통
2018-04-02 21,60.21,48.46,58.52,19.35,18.45,보통,보통
2018-04-02 22,57.18,48.44,59.9,18.89,17.32,보통,보통
2018-04-02 23,54.01,48.06,61.72,18.5,19.46,보통,보통
2018-04-03 00,54.9,47.94,61.78,18.78,21.43,보통,보통
2018-04-03 01,57.23,47.63,63.87,18.71,22.97,보통,보통
2018-04-03 02,58.58,47.3,65.09,18.56,19.27,보통,보통
2018-04-03 03,60.68,47.21,64.98,18.51,18.51,보통,보통
2018-04-03 04,60.66,47.35,65.74,18.24,16.92,보통,보통
2018-04-03 05,60.03,47.74,66.32,18.07,17.6,보통,보통
2018-04-03 06,57.88,48.49,66.47,18.2,19.2,보통,보통
2018-04-03 07,57.91,48.92,66.07,18.46,19.47,보통,보통
2018-04-03 08,57.91,49.17,63.47,19.14,20.89,보통,보통
2018-04-03 09,70.3,49.25,60.82,19.95,31.67,보통,보통
2018-04-03 10,80.95,49.33,58.17,20.9,39.84,보통,나쁨
2018-04-03 11,72.66,49.27,59.84,20.74,20.79,보통,보통
2018-04-03 12,77.7,49.18,56.39,21.38,22.05,보통,보통
2018-04-03 13,77.0,49.35,53.82,21.69,19.74,보통,보통
2018-04-03 14,90.39,49.32,50.34,21.69,29.2,나쁨,보통
2018-04-03 15,83.92,49.42,51.73,21.22,32.62,나쁨,보통
2018-04-03 16,76.8,49.51,51.95,21.03,16.61,보통,보통
2018-04-03 17,75.42,49.61,52.19,20.98,14.91,보통,좋음
2018-04-03 18,66.44,49.23,60.4,20.04,14.52,보통,좋음
2018-04-03 19,63.41,48.95,63.4,19.42,15.15,보통,좋음
2018-04-03 20,62.05,48.85,67.32,18.96,15.98,보통,좋음
2018-04-03 21,65.92,48.58,72.58,18.48,17.98,보통,보통
2018-04-03 22,62.71,48.58,76.43,17.79,19.55,보통,보통
2018-04-03 23,63.74,48.21,82.06,16.77,26.58,보통,보통
2018-04-04 00,63.99,48.15,84.01,16.4,36.16,보통,나쁨
2018-04-04 01,59.46,48.77,86.09,16.31,41.65,보통,나쁨
2018-04-04 02,37.18,49.44,88.08,15.85,24.91,보통,보통
2018-04-04 03,28.1,48.43,88.3,15.5,16.94,좋음,보통
2018-04-04 04,19.37,48.38,86.38,14.83,11.44,좋음,좋음
2018-04-04 05,10.43,48.99,84.45,11.41,6.35,좋음,좋음
2018-04-04 06,5.79,49.1,79.59,10.73,3.56,좋음,좋음
2018-04-04 07,5.64,49.62,74.77,10.75,2.57,좋음,좋음
2018-04-04 08,7.23,49.78,72.66,10.74,2.22,좋음,좋음
2018-04-04 09,7.82,49.91,73.91,10.91,3.68,좋음,좋음
2018-04-04 10,8.85,49.64,65.64,12.44,3.66,좋음,좋음
2018-04-04 11,9.89,49.45,53.5,14.49,2.74,좋음,좋음
2018-04-04 12,8.06,49.33,46.15,15.91,3.65,좋음,좋음
2018-04-04 13,8.52,49.45,42.52,16.65,5.07,좋음,좋음
2018-04-04 14,8.1,49.56,39.44,17.49,4.51,좋음,좋음
2018-04-04 15,8.88,49.61,39.29,17.52,4.72,좋음,좋음
2018-04-04 16,10.42,49.5,39.53,17.2,5.54,좋음,좋음
2018-04-04 17,11.66,49.48,40.99,16.41,5.61,좋음,좋음
2018-04-04 18,12.39,49.45,43.95,15.27,5.53,좋음,좋음
2018-04-04 19,10.65,49.25,46.04,14.05,5.27,좋음,좋음
2018-04-04 20,9.98,49.1,47.87,13.03,5.47,좋음,좋음
2018-04-04 21,9.26,49.01,49.22,12.22,5.58,좋음,좋음
2018-04-04 22,7.91,48.9,50.37,11.76,5.18,좋음,좋음
2018-04-04 23,8.25,48.43,52.45,11.09,4.6,좋음,좋음
2018-04-05 00,8.95,48.39,54.56,10.5,4.89,좋음,좋음
2018-04-05 01,8.34,48.17,55.97,10.25,4.92,좋음,좋음
2018-04-05 02,8.98,47.82,56.68,10.25,5.46,좋음,좋음
2018-04-05 03,9.79,47.58,57.43,10.16,5.58,좋음,좋음
2018-04-05 04,10.02,47.77,62.16,9.84,5.79,좋음,좋음
2018-04-05 05,11.64,48.52,79.96,8.29,6.09,좋음,좋음
2018-04-05 06,9.66,49.47,82.37,7.93,5.34,좋음,좋음
2018-04-05 07,7.76,50.67,84.06,7.7,5.2,좋음,좋음
2018-04-05 08,7.6,50.2,81.28,7.86,4.63,좋음,좋음
2018-04-05 09,6.9,49.98,79.05,8.08,3.8,좋음,좋음
2018-04-05 10,7.27,49.96,78.82,8.31,4.06,좋음,좋음
2018-04-05 11,7.95,50.11,83.6,8.14,4.87,좋음,좋음
2018-04-05 12,7.11,49.81,81.64,8.36,5.5,좋음,좋음
2018-04-05 13,5.91,49.78,81.96,8.55,4.51,좋음,좋음
2018-04-05 14,21.5,50.08,84.9,8.59,4.35,좋음,좋음
2018-04-05 15,31.67,50.36,85.64,8.71,2.25,보통,좋음
2018-04-05 16,7.09,50.44,85.94,8.71,2.51,좋음,좋음
2018-04-05 17,6.98,50.48,86.43,8.58,3.12,좋음,좋음
2018-04-05 18,7.11,50.7,86.54,8.49,3.42,좋음,좋음
2018-04-05 19,8.11,49.94,84.76,8.43,3.43,좋음,좋음
2018-04-05 20,8.13,49.8,84.21,8.36,2.81,좋음,좋음
2018-04-05 21,7.44,49.52,84.55,8.33,2.92,좋음,좋음
2018-04-05 22,7.63,49.38,84.06,8.35,3.28,좋음,좋음
2018-04-05 23,8.48,48.95,84.01,8.41,2.87,좋음,좋음
2018-04-06 00,11.79,48.71,86.03,8.2,5.26,좋음,좋음
2018-04-06 01,14.35,48.54,86.25,7.92,8.16,좋음,좋음
2018-04-06 02,11.37,48.48,87.26,7.65,5.96,좋음,좋음
2018-04-06 03,12.11,48.22,87.67,7.38,4.77,좋음,좋음
2018-04-06 04,10.76,48.23,87.25,7.13,4.0,좋음,좋음
2018-04-06 05,11.88,48.46,86.58,7.18,8.19,좋음,좋음
2018-04-06 06,19.37,49.16,84.57,7.51,13.8,좋음,좋음
2018-04-06 07,14.49,49.66,81.07,7.45,8.17,좋음,좋음
2018-04-06 08,14.06,49.92,75.24,7.95,8.25,좋음,좋음
2018-04-06 09,40.68,50.08,63.99,9.25,20.11,보통,보통
2018-04-06 10,53.79,50.27,57.16,10.39,18.7,보통,보통
2018-04-06 11,66.86,49.69,57.26,9.75,12.72,보통,좋음
2018-04-06 12,113.6,49.73,55.34,8.95,21.06,나쁨,보통
2018-04-06 13,191.84,49.9,47.68,9.82,51.47,매우나쁨,나쁨
2018-04-06 14,214.34,50.18,44.05,9.06,51.86,매우나쁨,나쁨
2018-04-06 15,201.71,50.15,42.0,8.34,55.02,매우나쁨,나쁨
2018-04-06 16,194.05,50.46,42.3,7.88,79.44,매우나쁨,매우 나쁨
2018-04-06 17,169.58,50.29,40.46,7.58,66.74,매우나쁨,나쁨
2018-04-06 18,142.18,49.98,40.55,6.93,55.61,나쁨,나쁨
2018-04-06 19,125.74,49.64,45.45,6.25,35.99,나쁨,보통
2018-04-06 20,89.57,49.4,53.25,5.84,11.45,나쁨,좋음
2018-04-06 21,69.73,49.14,56.35,5.67,10.97,보통,좋음
2018-04-06 22,76.36,49.11,56.31,5.62,19.8,보통,보통
2018-04-06 23,66.1,48.85,60.87,5.31,29.44,보통,보통
2018-04-07 00,50.72,48.54,66.47,4.16,25.0,보통,보통
2018-04-07 01,45.25,48.28,64.49,3.86,22.32,보통,보통
2018-04-07 02,34.31,48.02,73.9,3.1,20.96,보통,보통
2018-04-07 03,32.16,47.78,65.5,3.18,21.52,보통,보통
2018-04-07 04,34.28,47.96,55.09,3.35,26.06,보통,보통
2018-04-07 05,43.06,48.21,50.21,3.46,29.55,보통,보통
2018-04-07 06,50.61,48.68,45.59,3.59,30.45,보통,보통
2018-04-07 07,56.29,48.97,39.84,3.95,29.49,보통,보통
2018-04-07 08,60.84,49.37,33.54,4.51,32.31,보통,보통
2018-04-07 09,61.34,49.57,27.81,5.49,27.46,보통,보통
2018-04-07 10,58.45,49.65,22.33,6.19,18.99,보통,보통
2018-04-07 11,52.54,49.56,18.01,6.92,16.23,보통,보통
2018-04-07 12,48.93,49.55,17.36,8.33,19.7,보통,보통
2018-04-07 13,43.23,49.62,14.75,9.55,15.42,보통,좋음
2018-04-07 14,36.88,49.83,17.08,9.98,10.22,보통,좋음
2018-04-07 15,37.5,49.75,18.31,10.12,9.81,보통,좋음
2018-04-07 16,39.26,49.83,25.63,9.09,12.37,보통,좋음
2018-04-07 17,35.33,49.95,26.84,8.52,12.58,보통,좋음
2018-04-07 18,31.96,49.75,32.63,7.21,12.02,보통,좋음
2018-04-07 19,28.82,49.54,31.97,6.43,11.81,좋음,좋음
2018-04-07 20,27.42,49.27,30.23,5.91,14.32,좋음,좋음
2018-04-07 21,26.27,49.11,31.63,5.55,18.27,좋음,보통
2018-04-07 22,26.57,48.93,31.53,5.29,20.51,좋음,보통
2018-04-07 23,28.06,48.59,31.98,5.02,16.37,좋음,보통
2018-04-08 00,30.06,48.33,35.32,4.76,14.14,좋음,좋음
2018-04-08 01,30.79,48.18,38.21,4.53,15.85,좋음,좋음
2018-04-08 02,33.09,47.85,40.1,4.32,15.34,보통,좋음
2018-04-08 03,33.36,47.61,42.45,4.05,14.93,보통,좋음
2018-04-08 04,32.07,47.63,45.29,3.61,15.5,보통,좋음
2018-04-08 05,30.75,48.01,49.28,2.97,11.65,좋음,좋음
2018-04-08 06,29.35,48.27,50.97,2.7,12.6,좋음,좋음
2018-04-08 07,33.5,48.5,46.44,3.96,17.22,보통,보통
2018-04-08 08,35.88,48.94,41.53,6.37,14.75,보통,좋음
2018-04-08 09,34.32,49.07,33.19,7.75,8.23,보통,좋음
2018-04-08 10,30.47,49.31,28.38,7.97,10.49,좋음,좋음
2018-04-08 11,23.38,49.34,25.41,7.85,11.08,좋음,좋음
2018-04-08 12,24.15,49.24,22.94,8.48,13.39,좋음,좋음
2018-04-08 13,25.29,49.35,22.53,8.74,11.14,좋음,좋음
2018-04-08 14,28.45,49.33,26.92,8.51,11.16,좋음,좋음
2018-04-08 15,31.78,49.48,46.98,7.11,15.77,보통,좋음
2018-04-08 16,34.4,49.89,71.92,4.86,19.02,보통,보통
2018-04-08 17,32.85,50.54,81.84,3.51,17.69,보통,보통
2018-04-08 18,29.36,50.5,85.75,2.83,16.78,좋음,보통
2018-04-08 19,23.84,49.89,85.28,3.06,15.57,좋음,좋음
2018-04-08 20,21.51,49.59,83.72,3.35,12.67,좋음,좋음
2018-04-08 21,23.06,49.26,82.65,3.45,15.23,좋음,좋음
2018-04-08 22,19.11,48.88,80.75,3.81,14.53,좋음,좋음
2018-04-08 23,18.48,48.4,79.42,4.17,11.3,좋음,좋음
2018-04-09 00,23.85,48.1,81.61,3.61,17.09,좋음,보통
2018-04-09 01,26.3,47.75,83.26,3.01,20.95,좋음,보통
2018-04-09 02,29.78,47.66,84.66,2.46,21.87,좋음,보통
2018-04-09 03,38.0,47.44,86.71,1.93,28.3,보통,보통
2018-04-09 04,45.82,47.78,87.59,1.9,33.06,보통,보통
2018-04-09 05,50.09,48.6,88.32,1.75,35.16,보통,보통
2018-04-09 06,57.44,49.4,88.84,1.56,39.74,보통,나쁨
2018-04-09 07,56.78,49.91,86.72,1.84,35.13,보통,보통
2018-04-09 08,55.01,50.09,81.72,2.64,33.09,보통,보통
2018-04-09 09,50.02,50.26,74.48,4.3,33.76,보통,보통
2018-04-09 10,50.95,50.23,63.89,7.02,34.59,보통,보통
2018-04-09 11,53.61,49.85,47.01,10.35,30.66,보통,보통
2018-04-09 12,48.89,49.6,35.6,12.57,27.94,보통,보통
2018-04-09 13,46.33,49.77,26.49,14.3,26.47,보통,보통
2018-04-09 14,45.28,49.62,20.55,15.62,25.87,보통,보통
2018-04-09 15,39.32,49.82,18.01,16.16,21.79,보통,보통
2018-04-09 16,31.98,49.78,17.0,16.03,17.82,보통,보통
2018-04-09 17,32.76,49.71,17.73,15.83,20.52,보통,보통
2018-04-09 18,34.97,49.61,21.33,14.93,19.92,보통,보통
2018-04-09 19,38.13,49.47,29.65,13.1,22.35,보통,보통
2018-04-09 20,42.03,49.12,35.1,11.9,28.53,보통,보통
2018-04-09 21,46.46,48.95,40.87,11.09,31.09,보통,보통
2018-04-09 22,45.63,48.86,46.35,10.26,31.02,보통,보통
2018-04-09 23,46.89,48.57,50.84,9.67,31.19,보통,보통
2018-04-10 00,43.73,48.17,53.96,9.15,27.47,보통,보통
2018-04-10 01,34.91,48.0,56.83,8.5,21.15,보통,보통
2018-04-10 02,33.05,47.69,58.57,7.89,20.58,보통,보통
2018-04-10 03,32.46,47.52,59.16,7.64,21.14,보통,보통
2018-04-10 04,31.56,47.8,59.34,7.42,21.13,보통,보통
2018-04-10 05,31.32,48.44,59.43,7.28,21.83,보통,보통
2018-04-10 06,33.47,49.14,56.97,7.68,21.61,보통,보통
2018-04-10 07,35.19,49.48,46.68,9.84,21.83,보통,보통
2018-04-10 08,39.6,49.66,36.81,12.49,25.05,보통,보통
2018-04-10 09,42.81,49.61,31.04,15.16,18.6,보통,보통
2018-04-10 10,54.75,49.4,25.39,18.63,28.64,보통,보통
2018-04-10 11,64.94,49.39,26.92,20.96,34.32,보통,보통
2018-04-10 12,51.79,49.68,30.96,22.56,18.86,보통,보통
2018-04-10 13,55.71,50.05,28.9,22.83,16.71,보통,보통
2018-04-10 14,51.82,50.25,30.04,22.42,12.55,보통,좋음
2018-04-10 15,50.27,50.38,29.64,22.59,9.72,보통,좋음
2018-04-10 16,48.6,50.23,30.01,22.2,11.61,보통,좋음
2018-04-10 17,47.36,50.54,39.09,21.41,10.03,보통,좋음
2018-04-10 18,44.28,50.55,47.66,20.59,12.23,보통,좋음
2018-04-10 19,37.88,49.86,51.63,20.26,11.56,보통,좋음
2018-04-10 20,33.9,49.86,60.24,19.47,10.52,보통,좋음
2018-04-10 21,38.66,50.39,68.2,18.23,12.41,보통,좋음
2018-04-10 22,54.32,50.87,81.19,16.17,22.46,보통,보통
2018-04-10 23,63.13,49.06,75.5,15.93,33.25,보통,보통
2018-04-11 00,62.33,48.25,71.71,15.38,32.64,보통,보통
2018-04-11 01,68.55,47.84,71.2,14.43,37.58,보통,나쁨
2018-04-11 02,78.75,47.47,71.13,13.48,42.51,보통,나쁨
2018-04-11 03,83.24,47.28,73.01,12.24,43.26,나쁨,나쁨
2018-04-11 04,93.45,47.52,72.96,11.81,47.77,나쁨,나쁨
2018-04-11 05,99.07,48.0,72.68,11.5,50.74,나쁨,나쁨
2018-04-11 06,99.51,48.81,70.3,11.37,49.81,나쁨,나쁨
2018-04-11 07,95.42,49.45,66.49,11.91,41.9,나쁨,나쁨
2018-04-11 08,83.97,49.67,56.9,13.39,27.85,나쁨,보통
2018-04-11 09,91.02,49.53,48.15,14.89,28.63,나쁨,보통
2018-04-11 10,79.82,49.55,41.45,16.3,26.51,보통,보통
2018-04-11 11,73.43,49.54,33.26,17.64,25.87,보통,보통
2018-04-11 12,75.23,49.4,34.8,18.0,29.53,보통,보통
2018-04-11 13,61.12,49.56,26.5,18.29,23.32,보통,보통
2018-04-11 14,53.79,49.56,22.55,18.64,22.05,보통,보통
2018-04-11 15,48.21,49.64,20.73,18.6,19.22,보통,보통
2018-04-11 16,40.51,49.52,19.16,18.08,12.21,보통,좋음
2018-04-11 17,44.4,49.51,17.89,17.37,12.73,보통,좋음
2018-04-11 18,40.73,49.4,19.56,16.19,11.65,보통,좋음
2018-04-11 19,38.41,49.28,23.93,14.86,13.29,보통,좋음
2018-04-11 20,40.45,49.09,27.97,13.89,16.29,보통,보통
2018-04-11 21,40.52,48.81,30.32,13.23,16.17,보통,보통
2018-04-11 22,43.95,48.8,33.8,12.67,13.74,보통,좋음
2018-04-11 23,45.67,48.51,38.47,11.85,19.63,보통,보통
2018-04-12 00,42.19,48.25,39.63,11.09,14.72,보통,좋음
2018-04-12 01,41.43,47.94,40.23,10.36,17.62,보통,보통
2018-04-12 02,45.6,47.73,43.54,9.51,18.56,보통,보통
2018-04-12 03,38.32,47.56,46.66,9.0,13.42,보통,좋음
2018-04-12 04,37.54,47.8,47.6,8.89,13.4,보통,좋음
2018-04-12 05,38.98,48.34,49.63,8.44,13.53,보통,좋음
2018-04-12 06,39.57,49.09,51.47,8.4,14.37,보통,좋음
2018-04-12 07,42.97,49.47,47.68,9.87,16.08,보통,보통
2018-04-12 08,46.66,49.57,42.54,12.22,16.75,보통,보통
2018-04-12 09,57.76,49.5,35.87,14.97,18.18,보통,보통
2018-04-12 10,66.91,49.36,25.61,17.65,21.76,보통,보통
2018-04-12 11,62.0,49.22,18.69,19.36,16.95,보통,보통
2018-04-12 12,53.68,49.32,15.79,20.31,13.8,보통,좋음
2018-04-12 13,47.71,49.52,14.99,20.8,10.43,보통,좋음
2018-04-12 14,39.42,49.51,12.49,21.19,13.63,보통,좋음
2018-04-12 15,38.98,49.55,13.44,21.12,15.23,보통,좋음
2018-04-12 16,40.77,49.59,15.48,20.43,5.7,보통,좋음
2018-04-12 17,29.81,49.55,10.56,19.6,6.22,좋음,좋음
2018-04-12 18,27.25,49.21,6.34,18.14,7.54,좋음,좋음
2018-04-12 19,26.34,48.98,8.04,16.48,8.82,좋음,좋음
2018-04-12 20,26.17,48.84,10.92,15.31,10.86,좋음,좋음
2018-04-12 21,26.84,48.66,12.24,14.69,11.24,좋음,좋음
2018-04-12 22,28.87,48.76,15.21,13.83,12.92,좋음,좋음
2018-04-12 23,29.31,48.4,18.7,12.84,17.15,좋음,보통
2018-04-13 00,30.5,48.09,20.09,12.29,14.65,좋음,좋음
2018-04-13 01,31.47,47.71,21.6,11.96,16.95,보통,보통
2018-04-13 02,31.6,47.66,25.96,11.26,16.35,보통,보통
2018-04-13 03,31.87,47.4,28.21,10.91,14.85,보통,좋음
2018-04-13 04,32.79,47.7,29.5,10.73,16.06,보통,보통
2018-04-13 05,32.51,48.18,31.55,10.22,14.29,보통,좋음
2018-04-13 06,33.27,48.89,33.13,9.96,15.67,보통,좋음
2018-04-13 07,35.63,49.49,31.52,10.94,17.46,보통,보통
2018-04-13 08,39.2,49.62,27.13,12.96,17.19,보통,보통
2018-04-13 09,33.52,49.42,15.44,15.94,13.85,보통,좋음
2018-04-13 10,32.4,49.3,12.37,17.36,10.68,보통,좋음
2018-04-13 11,29.47,49.31,10.92,18.53,7.78,좋음,좋음
2018-04-13 12,26.53,49.14,8.92,19.37,7.37,좋음,좋음
2018-04-13 13,24.92,49.16,9.22,19.49,6.16,좋음,좋음
2018-04-13 14,25.29,49.29,10.61,19.47,8.14,좋음,좋음
2018-04-13 15,25.9,49.45,11.07,19.84,10.49,좋음,좋음
2018-04-13 16,25.34,49.59,11.58,19.79,12.71,좋음,좋음
2018-04-13 17,26.71,49.41,12.94,19.53,12.35,좋음,좋음
2018-04-13 18,30.46,49.32,16.54,19.03,12.74,좋음,좋음
2018-04-13 19,32.77,49.18,20.41,18.05,13.97,보통,좋음
2018-04-13 20,34.17,48.9,20.72,17.72,13.77,보통,좋음
2018-04-13 21,36.77,48.8,21.38,17.89,13.9,보통,좋음
2018-04-13 22,37.43,48.78,22.36,17.32,16.7,보통,보통
2018-04-13 23,38.01,48.47,24.4,16.69,16.93,보통,보통
2018-04-14 00,37.12,48.16,23.08,15.88,11.96,보통,좋음
2018-04-14 01,36.7,47.9,21.71,15.37,12.19,보통,좋음
2018-04-14 02,36.68,47.71,28.3,14.54,12.43,보통,좋음
2018-04-14 03,32.67,47.81,47.81,12.38,12.29,보통,좋음
2018-04-14 04,31.29,48.17,63.1,10.77,13.62,보통,좋음
2018-04-14 05,33.16,48.62,70.67,9.82,14.35,보통,좋음
2018-04-14 06,36.54,49.37,76.75,9.47,15.26,보통,좋음
2018-04-14 07,38.15,49.63,80.51,8.9,16.42,보통,보통
2018-04-14 08,35.59,50.3,82.57,8.5,18.9,보통,보통
2018-04-14 09,29.11,50.55,84.5,8.54,15.38,좋음,좋음
2018-04-14 10,23.1,50.31,84.03,8.85,11.86,좋음,좋음
2018-04-14 11,19.32,50.05,83.44,9.33,12.99,좋음,좋음
2018-04-14 12,17.91,49.73,83.74,9.73,8.32,좋음,좋음
2018-04-14 13,17.2,49.93,84.37,9.75,12.29,좋음,좋음
2018-04-14 14,17.13,49.85,81.53,10.11,14.91,좋음,좋음
2018-04-14 15,12.88,49.76,80.02,10.07,10.31,좋음,좋음
2018-04-14 16,10.11,49.65,75.6,10.41,9.01,좋음,좋음
2018-04-14 17,7.55,49.54,70.17,11.03,5.61,좋음,좋음
2018-04-14 18,6.25,49.59,66.54,11.12,2.2,좋음,좋음
2018-04-14 19,6.56,49.39,67.13,11.07,3.39,좋음,좋음
2018-04-14 20,15.81,49.21,67.92,10.98,9.9,좋음,좋음
2018-04-14 21,27.87,49.0,66.82,10.74,18.95,좋음,보통
2018-04-14 22,27.08,48.95,67.72,10.31,22.15,좋음,보통
2018-04-14 23,23.47,48.59,68.38,9.85,18.75,좋음,보통
2018-04-15 00,23.72,48.35,69.31,9.14,19.61,좋음,보통
2018-04-15 01,30.78,48.04,69.01,8.66,25.56,좋음,보통
2018-04-15 02,36.62,47.71,70.28,8.26,23.79,보통,보통
2018-04-15 03,39.6,47.58,72.51,7.95,17.6,보통,보통
2018-04-15 04,43.5,47.62,74.69,7.59,17.75,보통,보통
2018-04-15 05,47.98,47.94,78.08,7.0,18.24,보통,보통
2018-04-15 06,51.88,48.38,78.85,6.92,15.9,보통,좋음
2018-04-15 07,50.6,48.54,74.0,8.13,18.47,보통,보통
2018-04-15 08,60.14,48.83,64.52,9.97,19.95,보통,보통
2018-04-15 09,70.3,49.16,54.73,11.58,21.98,보통,보통
2018-04-15 10,84.08,49.2,48.66,12.92,21.34,나쁨,보통
2018-04-15 11,93.0,49.11,42.81,14.37,16.37,나쁨,보통
2018-04-15 12,95.92,49.1,39.54,15.25,18.01,나쁨,보통
2018-04-15 13,119.12,49.27,39.59,15.25,22.03,나쁨,보통
2018-04-15 14,138.35,49.2,41.89,15.09,27.16,나쁨,보통
2018-04-15 15,158.84,49.2,44.24,14.3,31.12,매우나쁨,보통
2018-04-15 16,157.52,49.14,43.74,13.83,28.16,매우나쁨,보통
2018-04-15 17,139.26,49.19,44.84,13.65,28.55,나쁨,보통
2018-04-15 18,113.38,49.26,47.38,13.23,24.45,나쁨,보통
2018-04-15 19,94.45,49.03,48.51,12.71,21.46,나쁨,보통
2018-04-15 20,64.88,48.9,54.84,12.04,17.5,보통,보통
2018-04-15 21,46.56,48.83,53.26,11.53,15.87,보통,좋음
2018-04-15 22,39.11,48.54,51.35,11.04,17.41,보통,보통
2018-04-15 23,27.95,48.24,50.07,10.49,15.0,좋음,좋음
2018-04-16 00,26.14,47.9,53.77,9.61,18.14,좋음,보통
2018-04-16 01,28.0,47.66,60.93,8.52,18.87,좋음,보통
2018-04-16 02,28.81,47.53,64.57,7.77,18.46,좋음,보통
2018-04-16 03,27.52,47.37,66.45,7.1,20.01,좋음,보통
2018-04-16 04,28.34,47.82,67.88,6.56,19.82,좋음,보통
2018-04-16 05,29.27,48.46,69.37,6.06,19.98,좋음,보통
2018-04-16 06,30.89,49.14,69.13,6.12,21.37,좋음,보통
2018-04-16 07,31.59,49.61,62.21,7.85,21.65,보통,보통
2018-04-16 08,31.29,49.64,50.22,10.77,21.89,보통,보통
2018-04-16 09,32.05,49.63,39.42,13.13,19.37,보통,보통
2018-04-16 10,37.28,49.75,32.72,15.11,20.58,보통,보통
2018-04-16 11,34.69,49.52,26.8,16.62,15.58,보통,좋음
2018-04-16 12,34.8,49.21,24.22,18.05,17.49,보통,보통
2018-04-16 13,34.59,49.43,21.18,19.22,16.76,보통,보통
2018-04-16 14,32.87,49.32,16.26,20.26,17.07,보통,보통
2018-04-16 15,33.65,49.5,14.39,20.76,15.77,보통,좋음
2018-04-16 16,34.05,49.62,16.46,20.35,15.26,보통,좋음
2018-04-16 17,31.93,49.55,18.13,19.41,14.52,보통,좋음
2018-04-16 18,34.33,49.42,23.61,17.6,18.99,보통,보통
2018-04-16 19,36.82,49.15,28.03,15.77,20.09,보통,보통
2018-04-16 20,36.54,49.0,32.51,14.44,24.25,보통,보통
2018-04-16 21,34.85,48.73,35.15,13.38,27.21,보통,보통
2018-04-16 22,34.69,48.75,40.51,12.27,25.03,보통,보통
2018-04-16 23,34.17,48.47,43.07,11.22,23.56,보통,보통
2018-04-17 00,31.25,48.15,46.11,10.34,24.3,보통,보통
