날짜,미세먼지(PM-10),소음(db),온도(℃),습도(%),초미세먼지(PM-2.5),PM10단계,PM25단계
2018-04-05 05,13.93,53.66,8.44,82.16,8.83,좋음,좋음
2018-04-05 06,13.88,55.62,7.98,85.16,8.57,좋음,좋음
2018-04-05 07,12.29,56.79,7.63,85.37,8.69,좋음,좋음
2018-04-05 08,12.7,55.91,7.8,82.56,9.15,좋음,좋음
2018-04-05 09,11.92,55.72,8.13,80.11,7.5,좋음,좋음
2018-04-05 10,11.48,55.62,8.22,81.48,6.75,좋음,좋음
2018-04-05 11,14.37,56.11,8.13,85.53,8.29,좋음,좋음
2018-04-05 12,14.86,55.89,8.4,85.05,10.42,좋음,좋음
2018-04-05 13,14.03,55.8,8.78,85.06,9.02,좋음,좋음
2018-04-05 14,14.63,56.58,8.89,86.47,9.23,좋음,좋음
2018-04-05 15,13.59,56.24,9.0,86.68,9.18,좋음,좋음
2018-04-05 16,13.02,56.18,8.94,87.2,7.48,좋음,좋음
2018-04-05 17,13.08,55.8,8.71,87.1,6.63,좋음,좋음
2018-04-05 18,12.38,56.45,8.56,86.54,6.45,좋음,좋음
2018-04-05 19,13.41,55.87,8.44,85.47,6.93,좋음,좋음
2018-04-05 20,11.33,55.66,8.44,85.0,6.48,좋음,좋음
2018-04-05 21,11.41,55.72,8.42,84.85,7.57,좋음,좋음
2018-04-05 22,10.45,55.58,8.32,84.55,7.96,좋음,좋음
2018-04-05 23,9.29,54.95,8.48,82.91,5.62,좋음,좋음
2018-04-06 00,7.76,54.28,8.39,84.49,4.03,좋음,좋음
2018-04-06 01,9.76,53.92,8.46,84.88,4.74,좋음,좋음
2018-04-06 02,11.71,53.83,8.23,86.92,5.51,좋음,좋음
2018-04-06 03,13.67,53.01,7.94,87.46,8.46,좋음,좋음
2018-04-06 04,14.27,53.01,7.5,87.93,9.43,좋음,좋음
2018-04-06 05,14.81,53.69,7.42,86.61,11.55,좋음,좋음
2018-04-06 06,13.62,55.08,6.84,85.11,11.37,좋음,좋음
2018-04-06 07,11.76,55.48,6.86,81.57,8.37,좋음,좋음
2018-04-06 08,13.6,55.68,7.44,77.16,11.29,좋음,좋음
2018-04-06 09,29.89,55.67,8.56,68.35,24.4,좋음,보통
2018-04-06 10,45.18,55.96,9.28,61.82,26.0,보통,보통
2018-04-06 11,56.91,55.84,8.1,63.25,15.97,보통,좋음
2018-04-06 12,100.14,56.01,8.39,56.81,26.52,나쁨,보통
2018-04-06 13,163.35,56.11,8.73,51.23,45.88,매우나쁨,나쁨
2018-04-06 14,196.42,55.98,8.02,47.33,46.46,매우나쁨,나쁨
2018-04-06 15,195.42,56.08,7.63,42.55,36.86,매우나쁨,나쁨
2018-04-06 16,204.48,55.88,7.33,43.8,31.56,매우나쁨,보통
2018-04-06 17,163.26,56.43,7.18,40.31,18.93,매우나쁨,보통
2018-04-06 18,123.01,56.06,6.41,38.05,12.03,나쁨,좋음
2018-04-06 19,120.68,55.48,5.69,45.72,12.01,나쁨,좋음
2018-04-06 20,71.27,55.07,5.16,57.45,7.56,보통,좋음
2018-04-06 21,65.65,55.11,5.26,60.83,10.77,보통,좋음
2018-04-06 22,77.75,54.9,5.12,60.54,26.56,보통,보통
2018-04-06 23,51.19,54.79,4.44,65.18,25.95,보통,보통
2018-04-07 00,47.83,53.92,3.77,60.91,22.65,보통,보통
2018-04-07 01,44.79,53.34,3.25,65.25,25.3,보통,보통
2018-04-07 02,42.84,53.3,2.32,77.13,30.59,보통,보통
2018-04-07 03,27.86,53.0,2.59,69.43,18.3,좋음,보통
2018-04-07 04,29.37,52.84,2.72,58.43,19.45,좋음,보통
2018-04-07 05,36.4,53.47,2.88,52.26,22.91,보통,보통
2018-04-07 06,48.11,54.35,3.01,47.8,25.69,보통,보통
2018-04-07 07,57.15,54.6,3.44,41.62,30.17,보통,보통
2018-04-07 08,60.11,55.26,4.19,36.09,31.46,보통,보통
2018-04-07 09,59.54,55.64,5.03,26.52,28.85,보통,보통
2018-04-07 10,58.08,55.84,5.5,23.31,23.69,보통,보통
2018-04-07 11,53.23,55.78,6.25,19.7,19.05,보통,보통
2018-04-07 12,51.83,56.41,7.63,19.1,19.49,보통,보통
2018-04-07 13,48.05,56.68,8.87,14.9,16.11,보통,보통
2018-04-07 14,50.21,56.9,8.85,25.43,14.36,보통,좋음
2018-04-07 15,49.02,57.51,8.4,30.71,14.44,보통,좋음
2018-04-07 16,47.14,58.21,8.75,31.04,13.11,보통,좋음
2018-04-07 17,46.09,58.26,7.74,34.27,12.94,보통,좋음
2018-04-07 18,41.34,57.34,6.49,40.11,13.52,보통,좋음
2018-04-07 19,38.12,56.76,5.76,38.49,15.0,보통,좋음
2018-04-07 20,32.28,55.69,5.42,33.24,14.71,보통,좋음
2018-04-07 21,32.97,55.96,5.15,34.8,14.87,보통,좋음
2018-04-07 22,33.1,55.01,4.88,33.72,14.7,보통,좋음
2018-04-07 23,34.9,54.03,4.63,35.87,17.41,보통,보통
2018-04-08 00,36.39,53.22,4.39,38.88,17.35,보통,보통
2018-04-08 01,36.31,52.7,4.12,40.6,16.2,보통,보통
2018-04-08 02,32.46,52.1,3.83,43.18,13.3,보통,좋음
2018-04-08 03,32.07,51.61,3.65,43.2,13.18,보통,좋음
2018-04-08 04,30.89,51.56,3.35,44.06,12.37,좋음,좋음
2018-04-08 05,29.07,52.22,2.95,45.94,12.76,좋음,좋음
2018-04-08 06,28.37,53.14,2.69,48.33,12.61,좋음,좋음
2018-04-08 07,32.28,53.41,4.22,46.07,14.1,보통,좋음
2018-04-08 08,39.66,53.92,5.87,46.36,16.8,보통,보통
2018-04-08 09,41.22,54.37,6.95,37.1,16.5,보통,보통
2018-04-08 10,35.81,54.38,7.36,26.94,13.77,보통,좋음
2018-04-08 11,31.12,54.38,7.72,22.14,12.93,보통,좋음
2018-04-08 12,33.77,54.46,8.31,21.54,16.02,보통,보통
2018-04-08 13,32.98,54.61,8.89,20.37,16.21,보통,보통
2018-04-08 14,35.22,54.8,8.57,28.04,17.1,보통,보통
2018-04-08 15,29.98,54.74,7.42,43.69,14.92,좋음,좋음
2018-04-08 16,23.94,55.1,5.59,63.58,10.59,좋음,좋음
2018-04-08 17,33.1,56.21,4.03,76.43,14.29,보통,좋음
2018-04-08 18,27.64,56.25,3.16,81.64,13.09,좋음,좋음
2018-04-08 19,24.02,55.52,3.39,80.05,14.26,좋음,좋음
2018-04-08 20,22.53,55.04,3.83,78.0,16.69,좋음,보통
2018-04-08 21,22.18,54.76,3.75,77.36,18.22,좋음,보통
2018-04-08 22,22.1,54.29,3.99,75.0,18.39,좋음,보통
2018-04-08 23,22.18,53.55,4.51,72.66,16.72,좋음,보통
2018-04-09 00,25.44,52.7,4.51,72.8,16.15,좋음,보통
2018-04-09 01,28.0,52.04,3.73,76.18,21.32,좋음,보통
2018-04-09 02,31.79,51.52,3.22,78.13,24.77,보통,보통
2018-04-09 03,32.26,51.26,2.89,78.72,24.29,보통,보통
2018-04-09 04,35.87,52.11,2.38,80.95,27.28,보통,보통
2018-04-09 05,40.54,53.65,1.99,83.27,31.01,보통,보통
2018-04-09 06,43.35,55.1,2.01,83.74,32.32,보통,보통
2018-04-09 07,47.96,55.52,2.28,82.99,36.09,보통,나쁨
2018-04-09 08,52.61,55.67,3.15,78.12,40.59,보통,나쁨
2018-04-09 09,37.21,55.79,4.74,68.29,29.12,보통,보통
2018-04-09 10,39.62,55.62,6.99,57.44,27.12,보통,보통
2018-04-09 11,46.22,55.81,9.96,40.9,26.48,보통,보통
2018-04-09 12,48.42,55.86,12.05,29.77,27.76,보통,보통
2018-04-09 13,42.48,55.15,13.63,21.63,24.35,보통,보통
2018-04-09 14,36.28,55.07,14.58,16.58,20.8,보통,보통
2018-04-09 15,41.92,55.22,15.18,18.11,24.87,보통,보통
2018-04-09 16,44.07,55.32,15.68,19.06,27.23,보통,보통
2018-04-09 17,46.91,54.99,15.78,19.02,28.12,보통,보통
2018-04-09 18,52.36,54.94,15.05,21.32,31.81,보통,보통
2018-04-09 19,50.26,54.85,13.4,28.06,29.88,보통,보통
2018-04-09 20,49.6,54.87,12.4,30.85,29.95,보통,보통
2018-04-09 21,50.35,54.78,12.15,32.16,29.67,보통,보통
2018-04-09 22,50.69,54.67,11.8,35.81,28.53,보통,보통
2018-04-09 23,51.63,54.11,11.51,38.04,29.31,보통,보통
2018-04-10 00,44.98,53.38,11.08,39.14,26.86,보통,보통
2018-04-10 01,39.12,52.64,10.78,38.6,24.65,보통,보통
2018-04-10 02,37.27,52.08,10.2,39.96,23.51,보통,보통
2018-04-10 03,35.04,51.59,9.62,42.39,22.64,보통,보통
2018-04-10 04,35.25,52.07,9.31,43.78,22.31,보통,보통
2018-04-10 05,35.48,53.24,9.21,43.8,23.16,보통,보통
2018-04-10 06,36.44,54.81,9.47,42.49,24.52,보통,보통
2018-04-10 07,40.95,55.14,10.91,37.63,27.55,보통,보통
2018-04-10 08,45.56,55.45,12.8,32.36,29.87,보통,보통
2018-04-10 09,50.32,55.54,14.77,28.37,29.24,보통,보통
2018-04-10 10,58.18,55.23,17.6,24.62,33.51,보통,보통
2018-04-10 11,67.5,55.36,20.22,28.96,36.81,보통,나쁨
2018-04-10 12,63.36,55.76,21.75,31.22,29.35,보통,보통
2018-04-10 13,58.46,56.78,21.86,29.79,23.45,보통,보통
2018-04-10 14,55.14,56.0,21.6,30.41,19.34,보통,보통
2018-04-10 15,54.77,56.06,21.69,28.87,15.46,보통,좋음
2018-04-10 16,51.46,55.54,21.13,31.01,13.46,보통,좋음
2018-04-10 17,41.88,55.8,20.35,41.4,10.67,보통,좋음
2018-04-10 18,38.56,55.69,19.7,47.22,10.5,보통,좋음
2018-04-10 19,35.81,55.47,19.47,50.61,9.95,보통,좋음
2018-04-10 20,31.48,55.74,18.71,58.63,10.61,보통,좋음
2018-04-10 21,36.92,55.8,17.2,67.33,15.69,보통,좋음
2018-04-10 22,56.03,56.34,15.54,77.62,24.31,보통,보통
2018-04-10 23,68.43,54.53,15.11,74.12,26.83,보통,보통
2018-04-11 00,69.14,53.37,14.44,73.0,29.61,보통,보통
2018-04-11 01,74.47,52.57,13.56,72.78,34.85,보통,보통
2018-04-11 02,77.12,52.0,12.63,72.06,35.35,보통,보통
2018-04-11 03,83.85,51.53,11.21,73.19,32.46,나쁨,보통
2018-04-11 04,96.79,51.89,10.45,74.57,37.71,나쁨,나쁨
2018-04-11 05,101.8,53.14,10.06,75.18,41.66,나쁨,나쁨
2018-04-11 06,100.47,54.71,9.81,75.86,40.97,나쁨,나쁨
2018-04-11 07,95.34,55.18,10.47,72.46,37.44,나쁨,나쁨
2018-04-11 08,83.31,55.46,12.08,59.3,31.27,나쁨,보통
2018-04-11 09,72.75,55.5,13.57,47.86,27.08,보통,보통
2018-04-11 10,67.1,55.34,14.93,39.7,25.71,보통,보통
2018-04-11 11,70.82,55.42,15.89,36.04,27.66,보통,보통
2018-04-11 12,72.88,55.66,16.13,36.31,29.19,보통,보통
2018-04-11 13,61.56,55.42,16.62,28.15,25.21,보통,보통
2018-04-11 14,58.41,55.86,16.97,23.93,23.52,보통,보통
2018-04-11 15,53.68,55.72,17.14,20.54,21.26,보통,보통
2018-04-11 16,47.88,55.52,16.76,17.02,16.4,보통,보통
2018-04-11 17,45.11,55.18,16.19,15.98,12.43,보통,좋음
2018-04-11 18,43.51,55.16,14.84,18.92,10.61,보통,좋음
2018-04-11 19,45.67,54.91,13.58,24.38,11.64,보통,좋음
2018-04-11 20,46.15,54.84,12.79,27.65,14.83,보통,좋음
2018-04-11 21,48.62,54.74,12.16,32.37,15.86,보통,좋음
2018-04-11 22,51.75,54.73,11.46,36.86,17.16,보통,보통
2018-04-11 23,54.05,54.25,11.04,37.97,19.53,보통,보통
2018-04-12 00,52.36,53.29,10.75,34.13,18.76,보통,보통
2018-04-12 01,48.12,52.77,10.21,35.27,17.92,보통,보통
2018-04-12 02,47.51,52.17,9.59,39.59,17.73,보통,보통
2018-04-12 03,45.87,51.8,9.22,43.5,16.25,보통,보통
2018-04-12 04,45.7,52.18,8.94,46.58,15.77,보통,좋음
2018-04-12 05,46.29,53.33,8.66,49.45,16.02,보통,보통
2018-04-12 06,48.78,54.68,9.14,48.37,18.78,보통,보통
2018-04-12 07,52.63,55.07,10.43,44.64,21.09,보통,보통
2018-04-12 08,55.5,55.43,12.05,40.75,21.17,보통,보통
2018-04-12 09,64.52,55.39,13.73,36.6,23.47,보통,보통
2018-04-12 10,72.8,55.3,15.77,29.7,25.94,보통,보통
2018-04-12 11,63.49,55.38,17.42,21.27,22.0,보통,보통
2018-04-12 12,54.22,55.56,18.56,15.47,17.57,보통,보통
2018-04-12 13,49.12,55.38,19.27,16.5,13.57,보통,좋음
2018-04-12 14,46.68,55.47,19.41,19.92,17.35,보통,보통
2018-04-12 15,45.82,55.27,19.29,17.83,21.8,보통,보통
2018-04-12 16,45.09,55.27,18.76,18.07,12.66,보통,좋음
2018-04-12 17,43.44,55.25,18.55,17.35,11.19,보통,좋음
2018-04-12 18,32.75,54.89,17.54,7.91,8.79,보통,좋음
2018-04-12 19,30.91,54.86,15.76,8.8,8.7,좋음,좋음
2018-04-12 20,28.41,54.56,14.77,10.32,8.28,좋음,좋음
2018-04-12 21,26.33,54.32,14.56,10.22,9.48,좋음,좋음
2018-04-12 22,28.56,54.24,14.02,12.41,11.91,좋음,좋음
2018-04-12 23,29.74,54.04,13.09,15.29,11.94,좋음,좋음
2018-04-13 00,31.56,53.25,12.4,16.68,13.29,보통,좋음
2018-04-13 01,31.43,52.66,11.81,19.77,12.84,보통,좋음
2018-04-13 02,31.43,52.17,11.36,22.52,13.39,보통,좋음
2018-04-13 03,33.75,51.65,11.41,23.17,14.0,보통,좋음
2018-04-13 04,36.03,52.0,11.13,24.35,14.16,보통,좋음
2018-04-13 05,35.27,53.17,10.42,27.54,15.88,보통,좋음
2018-04-13 06,37.16,54.84,10.66,29.24,16.69,보통,보통
2018-04-13 07,39.06,54.91,11.95,25.68,16.97,보통,보통
2018-04-13 08,39.88,55.1,13.81,18.77,16.73,보통,보통
2018-04-13 09,40.22,55.28,15.36,15.67,15.99,보통,좋음
2018-04-13 10,38.47,55.14,16.64,12.25,15.13,보통,좋음
2018-04-13 11,34.97,55.01,17.66,10.91,12.56,보통,좋음
2018-04-13 12,32.9,55.1,18.7,9.61,11.24,보통,좋음
2018-04-13 13,30.72,55.05,18.99,9.16,10.78,좋음,좋음
2018-04-13 14,31.29,55.01,18.95,10.13,11.49,보통,좋음
2018-04-13 15,31.08,55.05,19.12,10.48,13.48,보통,좋음
2018-04-13 16,31.64,55.31,19.1,11.18,13.16,보통,좋음
2018-04-13 17,31.91,55.26,19.0,11.82,13.98,보통,좋음
2018-04-13 18,32.87,55.12,18.73,13.14,15.94,보통,좋음
2018-04-13 19,33.45,54.82,18.1,15.55,16.6,보통,보통
2018-04-13 20,37.21,54.59,17.8,17.08,18.7,보통,보통
2018-04-13 21,38.8,54.61,17.69,20.19,19.61,보통,보통
2018-04-13 22,42.25,54.58,16.89,21.05,20.4,보통,보통
2018-04-13 23,41.97,54.08,16.1,21.98,17.63,보통,보통
2018-04-14 00,39.2,53.27,15.43,20.05,13.83,보통,좋음
2018-04-14 01,37.04,52.65,14.77,19.78,12.67,보통,좋음
2018-04-14 02,37.87,52.45,13.78,28.08,14.43,보통,좋음
2018-04-14 03,33.72,52.77,11.63,48.11,12.7,보통,좋음
2018-04-14 04,30.95,52.72,10.57,57.72,12.35,좋음,좋음
2018-04-14 05,31.07,53.68,9.83,64.01,12.96,보통,좋음
2018-04-14 06,33.8,55.19,9.22,70.22,13.9,보통,좋음
2018-04-14 07,42.08,55.57,8.62,77.22,18.55,보통,보통
2018-04-14 08,39.15,56.33,8.18,79.45,20.34,보통,보통
2018-04-14 09,34.51,56.77,8.26,81.11,19.54,보통,보통
2018-04-14 10,29.63,56.57,8.54,81.05,17.39,좋음,보통
2018-04-14 11,23.62,56.9,8.98,80.38,15.04,좋음,좋음
2018-04-14 12,19.64,56.87,9.45,79.2,12.5,좋음,좋음
2018-04-14 13,17.71,57.27,9.58,80.26,11.45,좋음,좋음
2018-04-14 14,17.69,57.6,9.76,78.42,11.26,좋음,좋음
2018-04-14 15,14.77,56.9,9.66,76.8,9.3,좋음,좋음
2018-04-14 16,11.05,57.65,10.21,71.77,7.67,좋음,좋음
2018-04-14 17,9.01,57.61,10.71,66.64,6.3,좋음,좋음
2018-04-14 18,9.54,55.91,10.7,64.39,6.05,좋음,좋음
2018-04-14 19,11.17,55.58,10.51,66.51,7.68,좋음,좋음
2018-04-14 20,22.53,55.73,10.3,65.23,15.49,좋음,좋음
2018-04-14 21,26.25,55.73,9.93,66.69,19.12,좋음,보통
2018-04-14 22,22.43,54.47,9.57,67.24,17.92,좋음,보통
2018-04-14 23,20.54,53.97,9.08,67.09,15.1,좋음,좋음
2018-04-15 00,23.53,53.27,8.47,68.4,16.88,좋음,보통
2018-04-15 01,32.93,52.7,7.98,68.59,22.07,보통,보통
2018-04-15 02,35.96,52.25,7.66,71.33,19.53,보통,보통
2018-04-15 03,43.72,51.75,7.36,73.27,17.37,보통,보통
2018-04-15 04,48.46,51.87,7.17,74.41,19.06,보통,보통
2018-04-15 05,50.19,52.25,7.03,75.02,20.79,보통,보통
2018-04-15 06,52.94,53.41,7.16,74.76,21.53,보통,보통
2018-04-15 07,53.5,53.65,7.97,71.74,21.15,보통,보통
2018-04-15 08,59.9,54.14,9.24,64.94,22.94,보통,보통
2018-04-15 09,70.68,54.68,10.38,57.45,24.7,보통,보통
2018-04-15 10,77.26,54.48,11.63,52.08,21.47,보통,보통
2018-04-15 11,90.39,54.55,12.71,47.39,20.75,나쁨,보통
2018-04-15 12,90.68,54.78,13.47,42.98,20.01,나쁨,보통
2018-04-15 13,97.1,55.32,14.01,42.77,21.36,나쁨,보통
2018-04-15 14,107.38,55.87,14.01,44.97,22.74,나쁨,보통
2018-04-15 15,112.33,55.22,13.11,49.0,22.9,나쁨,보통
2018-04-15 16,98.83,55.17,12.55,51.19,20.43,나쁨,보통
2018-04-15 17,77.33,54.55,12.39,51.04,17.53,보통,보통
2018-04-15 18,65.21,54.35,12.24,50.82,16.77,보통,보통
2018-04-15 19,60.15,54.37,11.71,52.43,16.84,보통,보통
2018-04-15 20,49.52,54.27,11.06,54.79,15.22,보통,좋음
2018-04-15 21,40.16,54.17,10.56,55.8,13.34,보통,좋음
2018-04-15 22,29.64,53.83,10.21,51.92,11.79,좋음,좋음
2018-04-15 23,26.75,53.22,9.68,50.34,13.59,좋음,좋음
2018-04-16 00,26.88,52.47,9.3,49.41,15.99,좋음,좋음
2018-04-16 01,27.5,51.86,8.89,51.02,15.89,좋음,좋음
2018-04-16 02,28.21,51.28,8.3,53.8,16.14,좋음,보통
2018-04-16 03,27.66,51.11,7.58,56.96,17.17,좋음,보통
2018-04-16 04,27.97,52.01,6.98,59.63,18.48,좋음,보통
2018-04-16 05,28.49,53.43,6.69,61.4,19.28,좋음,보통
2018-04-16 06,28.81,54.89,6.94,60.07,19.59,좋음,보통
2018-04-16 07,28.97,55.1,8.43,54.66,18.96,좋음,보통
2018-04-16 08,31.99,55.49,10.54,45.16,20.05,보통,보통
2018-04-16 09,31.32,55.39,12.63,33.78,19.32,보통,보통
2018-04-16 10,34.9,55.22,14.12,30.17,21.48,보통,보통
2018-04-16 11,34.71,55.22,15.32,27.09,20.82,보통,보통
2018-04-16 12,36.78,55.44,16.47,25.15,20.57,보통,보통
2018-04-16 13,36.83,55.03,17.59,23.09,19.29,보통,보통
2018-04-16 14,36.68,55.26,18.28,21.62,20.07,보통,보통
2018-04-16 15,35.77,55.24,18.69,19.76,21.6,보통,보통
2018-04-16 16,34.81,55.14,18.82,18.07,21.0,보통,보통
2018-04-16 17,34.4,55.04,18.19,19.56,18.83,보통,보통
2018-04-16 18,35.84,55.3,15.88,24.58,20.48,보통,보통
2018-04-16 19,35.26,55.04,13.72,28.21,21.09,보통,보통
2018-04-16 20,36.42,55.32,12.87,30.18,22.84,보통,보통
2018-04-16 21,34.69,54.76,12.75,30.27,21.43,보통,보통
2018-04-16 22,32.61,54.5,12.36,29.65,19.28,보통,보통
2018-04-16 23,32.26,54.04,11.73,32.12,19.74,보통,보통
2018-04-17 00,31.99,53.32,10.92,37.16,20.46,보통,보통
2018-04-17 01,31.41,52.68,10.15,41.2,20.54,보통,보통
