no,연도,월,일,지점,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),1시간 최다강수량(mm),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),안개 계속시간(hr),합계 일조시간(hr),합계 일사량(MJ/m2)
10,YA,3,22,G,5.8,1.7,207.0,12.1,1616.0,,0.0,7.4,50.0,1534.0,3.8,20.0,1543.0,1.6,1365.0,-0.4,40.0,1533.0,67.1,6.0,1006.9,1018.1,2333,1014.1,508.0,1015.8,12.2,10.6,800.0,0.02,0.22,,,,,,2.0,2.0,6.8,-2.5,,,,,,,,,,0.7,1.0,,,
11,YA,9,8,H,21.3,19.2,632.0,23.9,1355.0,0.0,0.0,9.1,340.0,1043.0,5.3,340.0,1051.0,2.3,1999.0,15.7,62.0,1141.0,70.9,17.9,1004.0,1013.7,1047,1009.8,1.0,1012.1,12.7,0.2,,,,,,,,,9.6,6.4,21.4,17.8,23.2,23.4,24.4,24.7,26.0,25.8,24.9,20.9,18.3,,,,,
12,YC,7,10,G,27.3,25.0,2359.0,29.3,1620.0,2.5,5.1,12.7,200.0,2355.0,6.6,200.0,2234.0,3.2,2803.0,26.3,86.0,1622.0,94.6,34.2,995.2,1004.6,1,1002.3,1636.0,1003.3,14.4,0.1,1000.0,0.88,6.7,,,,,,9.9,7.8,27.4,23.2,,,,,,,,,,1.3,1.9,,,
13,YB,2,20,D,1.9,-0.7,2337.0,6.1,1438.0,,0.0,7.3,320.0,1249.0,3.7,320.0,1255.0,1.2,1023.0,-1.3,57.0,1623.0,80.6,5.6,1017.4,1028.5,2340,1022.2,1.0,1026.1,11.1,,1400.0,1.51,,,,,,,5.6,5.4,2.6,-5.2,3.1,3.0,3.6,3.8,4.3,5.8,7.5,12.1,16.4,0.9,1.4,,2.1,8.57
14,YB,5,14,C,18.1,13.3,546.0,23.8,1545.0,,0.0,6.7,290.0,1130.0,4.1,270.0,1134.0,1.9,1681.0,9.7,29.0,1455.0,61.1,12.1,1005.1,1014.4,801,1011.7,1539.0,1013.2,14.1,,1200.0,3.34,,,,,,,2.4,0.1,23.6,7.3,17.6,16.9,16.8,16.2,15.7,14.2,12.4,10.7,11.7,4.5,6.5,,12.9,26.5
15,YA,6,4,I,19.1,14.6,522.0,22.7,1323.0,,0.0,7.0,250.0,1107.0,4.9,250.0,1111.0,1.7,1453.0,14.0,50.0,22.0,72.9,16.1,1007.5,1014.3,917,1011.3,1749.0,1013.1,14.7,6.8,,,,,,,,,,,25.3,10.8,,,,,,,,,,,,,,
16,YC,5,8,B,17.9,11.1,536.0,23.5,1336.0,,0.0,7.4,180.0,1231.0,4.4,250.0,1353.0,2.1,1792.0,5.1,34.0,2213.0,43.6,9.0,1003.6,1014.7,705,1012.1,1703.0,1013.6,14.0,6.1,1100.0,2.53,16.92,,,,,,7.3,0.0,21.7,5.8,19.2,19.1,18.6,18.1,18.0,15.8,14.2,12.2,13.2,3.7,5.3,,,
17,YC,4,17,A,13.1,9.5,1029.0,17.8,1536.0,0.6,0.6,12.3,250.0,2325.0,8.2,250.0,2319.0,3.1,2698.0,9.1,49.0,330.0,77.4,11.6,985.6,1011.0,24,998.8,1550.0,1002.7,13.3,2.6,,,,,,,,,7.3,4.5,15.8,9.4,,,,,,,,,,,,,,
18,YB,12,19,H,6.6,3.6,2333.0,12.2,1328.0,,0.0,14.5,320.0,848.0,5.7,340.0,25.0,3.2,2738.0,-10.7,17.0,1309.0,29.4,2.8,1013.0,1027.1,2353,1018.9,454.0,1021.6,9.8,,1200.0,1.98,,,,,,,6.1,1.6,6.7,-1.1,9.1,9.1,9.9,10.4,10.8,13.6,15.9,19.2,19.5,2.8,3.9,,7.6,11.66
19,YC,2,3,A,3.1,1.5,450.0,5.7,1250.0,,0.0,8.1,320.0,7.0,5.5,290.0,113.0,2.6,2233.0,-3.6,41.0,1628.0,61.9,4.7,1007.9,1027.7,834,1024.5,1547.0,1026.1,10.4,9.0,,,,,,,,,0.4,0.4,1.8,-3.8,,,,,,,,,,,,,,
20,YC,11,21,I,-0.1,-7.8,734.0,7.3,1442.0,,0.0,4.8,230.0,1303.0,3.5,230.0,1311.0,1.3,1119.0,-5.4,41.0,1241.0,69.8,4.1,1020.7,1030.2,253,1022.8,2400.0,1026.7,10.0,8.4,,,,,,,,,,,1.6,-14.0,,,,,,,,,,,,,,
21,YA,10,11,D,10.7,5.8,647.0,15.9,1438.0,,0.0,8.9,320.0,1307.0,4.3,320.0,1308.0,1.4,1181.0,4.1,38.0,1441.0,66.6,8.2,1015.2,1025.6,2331,1021.8,1.0,1023.6,11.5,8.1,1100.0,2.52,15.65,,,,,,4.3,4.3,12.5,1.8,14.9,15.3,17.1,18.1,19.8,21.3,22.5,22.5,19.5,2.4,3.4,,,
22,YA,1,24,A,-11.5,-12.4,1723.0,-10.8,208.0,,0.3,11.5,290.0,137.0,5.3,290.0,1422.0,3.3,2859.0,-16.1,45.0,28.0,68.6,1.8,1011.4,1032.4,1126,1028.3,120.0,1030.7,10.1,0.5,,,,0.9,1030.0,2.8,1030.0,0.9,9.6,8.6,-0.6,-6.6,,,,,,,,,,,,,,
23,YC,7,2,E,27.4,23.7,515.0,31.1,1130.0,2.0,2.5,5.9,230.0,1404.0,3.0,270.0,1413.0,1.1,951.0,23.2,62.0,1248.0,78.5,28.4,1002.3,1009.4,841,1007.0,1720.0,1008.3,14.6,0.9,1100.0,1.49,9.64,,,,,,8.9,5.0,27.7,22.1,,,,,,,,,,2.2,3.2,,,
24,YB,1,4,A,1.7,-1.7,243.0,5.2,1306.0,,0.0,12.7,340.0,2355.0,8.7,340.0,2359.0,3.7,3189.0,-2.8,50.0,1312.0,72.0,5.0,1024.7,1033.4,19,1026.8,1638.0,1029.2,9.6,,1200.0,0.99,,,,,,,6.3,4.8,-1.0,-7.0,,,,,,,,,,1.5,2.2,,1.1,5.09
25,YC,8,14,G,24.1,21.9,20.0,27.2,1412.0,9.3,34.9,5.6,50.0,709.0,2.8,50.0,1101.0,1.1,975.0,23.8,93.0,1312.0,98.5,29.5,996.1,1007.8,2,1003.0,1709.0,1004.3,13.5,0.0,1300.0,1.23,7.08,,,,,,10.0,5.4,24.4,20.6,,,,,,,,,,1.2,1.7,,,
26,YB,3,8,I,2.9,-3.3,702.0,9.6,1232.0,,0.0,7.3,230.0,1337.0,5.3,250.0,1342.0,2.1,1850.0,-6.0,27.0,1451.0,54.0,4.0,1019.4,1026.6,919,1024.1,7.0,1025.5,11.6,,,,,,,,,,0.1,0.0,4.6,-8.7,,,,,,,,,,,,,10.9,
27,YB,10,27,B,11.0,4.7,729.0,17.4,1515.0,,0.0,7.6,320.0,1303.0,4.2,290.0,1557.0,1.6,1404.0,2.7,34.0,1059.0,59.0,7.5,1009.1,1021.0,942,1017.9,1723.0,1019.4,10.8,,1200.0,2.31,,,,,,,0.9,0.9,12.0,-0.5,13.7,15.0,15.9,17.1,17.7,19.3,20.2,19.8,17.8,2.6,3.7,,9.8,14.45
28,YB,4,2,C,6.7,3.3,625.0,11.2,1429.0,,0.0,12.1,340.0,2121.0,7.9,270.0,1640.0,3.7,3185.0,-3.1,23.0,1220.0,51.9,4.9,1014.4,1024.3,938,1021.1,1553.0,1022.9,12.6,,1200.0,3.06,,,,,,,0.1,0.1,8.5,-2.0,7.4,7.2,7.5,7.5,7.6,7.7,7.7,9.1,12.3,3.8,5.5,,11.9,23.04
29,YC,1,6,D,6.7,2.6,2354.0,12.0,1453.0,,0.0,7.8,110.0,49.0,4.7,140.0,1040.0,2.2,1878.0,0.6,47.0,1420.0,66.0,6.4,1018.2,1029.1,929,1024.7,1637.0,1026.8,9.8,8.2,1200.0,1.88,10.66,,,,,,3.1,2.5,5.4,-3.1,5.4,5.1,5.2,5.4,6.1,8.1,10.5,15.6,18.0,1.6,2.4,,,
30,YA,6,13,B,22.0,18.3,206.0,27.0,1347.0,0.0,0.0,9.5,290.0,1738.0,5.1,320.0,1737.0,1.5,1319.0,14.7,46.0,1348.0,64.0,16.7,996.2,1008.5,1050,1004.1,407.0,1006.0,14.7,4.9,1300.0,2.95,15.75,,,,,,7.4,4.3,25.3,13.4,23.8,23.6,22.9,22.4,22.1,20.4,18.6,14.5,13.3,2.8,4.1,,,
31,YC,8,20,H,26.7,24.5,724.0,29.1,1423.0,0.7,0.7,6.8,140.0,918.0,4.1,110.0,1601.0,2.4,2106.0,23.5,73.0,1118.0,83.1,28.9,1002.7,1012.4,1,1009.2,1626.0,1010.6,13.3,4.9,1400.0,1.63,11.97,,,,,,8.5,7.1,28.1,23.9,27.8,27.5,27.4,27.1,27.6,26.2,24.4,19.5,17.5,2.5,3.6,,,
32,YA,2,27,H,9.2,4.2,431.0,14.7,1312.0,,0.0,10.8,270.0,1243.0,6.6,250.0,1218.0,2.6,2231.0,1.5,40.0,1629.0,59.8,6.9,1014.8,1024.9,201,1021.5,1745.0,1023.3,11.3,9.8,1200.0,2.23,12.71,,,,,,4.5,0.0,10.3,-2.2,9.0,8.9,8.8,8.6,7.9,8.8,10.3,14.6,17.0,2.4,3.5,,,
33,YB,2,22,A,3.3,-0.6,146.0,5.3,1246.0,,0.0,10.0,340.0,1536.0,7.7,320.0,1559.0,4.0,3452.0,0.1,67.0,1248.0,80.4,6.2,1017.6,1024.9,50,1020.2,1837.0,1022.1,11.1,,1200.0,2.2,,,,,,,6.8,0.4,2.1,-5.6,,,,,,,,,,1.8,2.5,,9.1,15.01
34,YB,12,21,A,5.5,1.4,2.0,7.7,1046.0,,0.0,10.5,290.0,940.0,6.4,250.0,1241.0,3.3,2892.0,1.2,57.0,647.0,74.8,6.7,1019.8,1028.8,1,1022.6,2334.0,1024.3,9.5,,1000.0,0.76,,,,,,,8.9,5.3,3.2,-1.7,,,,,,,,,,0.8,1.1,,0.2,2.61
35,YC,4,9,F,12.7,10.7,2240.0,15.4,1108.0,,0.0,10.5,50.0,1241.0,5.6,20.0,1058.0,2.8,2435.0,7.3,42.0,1603.0,71.6,10.5,1005.1,1018.6,2252,1009.4,207.0,1015.0,12.9,3.5,,,,,,,,,7.1,2.9,14.8,7.4,,,,,,,,,,,,,,
36,YB,10,2,I,21.4,18.9,556.0,25.3,1230.0,1.5,7.0,7.4,50.0,2143.0,5.0,50.0,2126.0,2.0,1721.0,19.3,66.0,1240.0,88.6,22.4,1006.3,1017.5,106,1005.2,2357.0,1011.9,11.8,,,,,,,,,,9.8,1.8,22.1,16.3,,,,,,,,,,,,,0.0,
37,YB,8,15,C,26.3,23.8,2238.0,28.5,1.0,3.1,6.4,9.0,90.0,331.0,5.8,70.0,715.0,3.6,3079.0,22.4,64.0,45.0,80.0,27.2,985.6,996.8,2,990.9,1839.0,993.3,13.6,,1700.0,1.11,,,,,,,8.0,5.4,26.7,22.2,28.1,28.1,28.2,27.9,27.3,25.2,23.1,18.8,15.8,1.8,2.5,,0.6,7.23
38,YA,11,21,G,7.9,3.9,441.0,12.7,1315.0,,0.0,9.0,20.0,2111.0,5.0,50.0,2000.0,1.2,1057.0,-0.1,29.0,1539.0,58.8,6.1,1014.1,1026.1,115,1020.1,1632.0,1022.9,10.2,0.4,1200.0,1.25,6.37,,,,,,9.8,8.8,6.7,0.5,,,,,,,,,,1.4,2.0,,,
39,YC,2,25,C,2.9,-1.4,503.0,6.6,1502.0,,0.0,8.2,250.0,1426.0,5.4,250.0,1435.0,3.0,2594.0,-1.6,52.0,1325.0,72.6,5.5,1013.2,1024.1,44,1020.2,1535.0,1022.2,11.2,10.6,1200.0,2.14,14.6,,,,,,1.3,1.3,2.7,-9.4,1.6,1.4,1.6,1.7,2.3,3.8,5.4,9.9,14.2,1.7,2.4,,,
40,YC,4,15,F,19.9,14.9,616.0,26.2,1456.0,0.1,0.1,9.7,230.0,1341.0,5.3,230.0,1400.0,2.5,2147.0,10.5,26.0,1308.0,56.6,12.8,1003.3,1014.3,2314,1011.1,1606.0,1012.8,13.1,10.3,,,,,,,,,3.5,1.3,22.9,11.9,,,,,,,,,,,,,,
41,YA,8,14,A,26.5,23.0,2254.0,29.8,1322.0,,0.0,9.0,140.0,936.0,5.7,160.0,1228.0,3.4,2954.0,24.6,80.0,1036.0,89.5,30.9,1004.2,1009.3,1008,1007.0,1857.0,1008.3,13.7,8.3,1300.0,3.41,21.94,,,,,,7.0,0.5,36.1,22.3,,,,,,,,,,3.7,5.3,,,
42,YA,3,2,G,3.4,-3.1,717.0,12.7,1556.0,,0.0,6.6,230.0,1831.0,4.3,70.0,607.0,1.7,1485.0,-8.8,5.0,1629.0,45.1,3.2,1009.3,1021.7,937,1015.0,1723.0,1018.3,11.5,10.4,1200.0,2.97,20.32,,,,,,2.0,0.0,3.6,-7.8,,,,,,,,,,2.7,3.8,,,
43,YA,12,12,B,-1.9,-5.0,727.0,2.4,1426.0,,0.0,6.8,340.0,125.0,4.0,290.0,1442.0,2.2,1896.0,-14.9,20.0,1517.0,39.0,2.0,1018.8,1031.5,952,1027.7,1.0,1029.8,9.6,8.7,1200.0,1.82,10.42,,,,,,0.0,0.0,-1.0,-9.3,-0.3,0.3,1.7,2.9,4.7,9.0,12.2,16.8,17.8,1.6,2.3,,,
44,YA,9,24,B,17.6,14.2,516.0,22.1,1448.0,,0.0,10.0,290.0,1234.0,4.4,320.0,1403.0,2.1,1783.0,5.9,27.0,1620.0,48.3,9.4,1008.7,1020.2,2344,1017.3,46.0,1018.8,12.1,11.0,1200.0,2.93,20.96,,,,,,1.1,0.0,19.3,8.9,19.9,20.6,21.2,21.8,22.6,23.5,23.6,21.2,17.6,4.5,6.4,,,
45,YB,8,31,F,23.9,18.7,546.0,29.2,1434.0,,0.0,4.6,340.0,1446.0,3.1,320.0,1450.0,1.3,1154.0,16.5,43.0,1351.0,64.8,18.8,1003.9,1015.8,2358,1011.1,56.0,1013.4,13.0,,,,,,,,,,4.8,0.6,24.3,14.4,,,,,,,,,,,,,11.5,
46,YC,12,21,D,-0.6,-3.9,756.0,4.5,1526.0,,0.0,5.9,340.0,1351.0,3.2,320.0,1354.0,0.9,763.0,-4.5,38.0,1413.0,77.3,4.4,1023.1,1034.2,956,1030.4,2346.0,1031.9,9.7,8.1,1200.0,1.27,7.42,,,2.0,5.0,,2.5,2.5,0.4,-10.4,0.0,-0.2,1.4,2.2,4.2,8.1,11.6,16.9,18.8,0.8,1.2,3.83,,
47,YC,2,21,H,5.2,-1.0,437.0,9.7,1412.0,,0.0,12.5,340.0,13.0,7.6,340.0,14.0,3.3,2838.0,-4.1,38.0,1134.0,51.4,4.6,1020.3,1031.1,1201,1024.4,1.0,1029.0,11.1,10.1,1300.0,2.52,15.65,,,,,,4.1,3.1,8.5,-2.8,7.7,7.4,8.1,8.4,7.9,9.2,10.8,14.8,17.0,2.4,3.4,,,
48,YA,2,21,A,-0.6,-3.9,636.0,2.0,1429.0,,0.0,12.1,270.0,2233.0,9.0,270.0,2242.0,3.3,2842.0,-12.5,28.0,830.0,40.6,2.4,1006.9,1027.6,938,1022.9,2011.0,1025.3,11.0,9.8,,,,,,,,,1.1,0.4,2.4,-6.2,,,,,,,,,,,,,,
49,YA,3,18,I,6.2,2.7,38.0,10.2,1436.0,,1.5,4.7,70.0,1621.0,2.9,50.0,1620.0,1.0,843.0,0.2,43.0,1403.0,66.6,6.2,1016.0,1025.6,1,1018.8,1754.0,1021.9,12.0,0.0,,,,,,,,,,,7.4,-0.5,,,,,,,,,,,,,,
50,YB,1,6,A,-0.4,-2.3,826.0,1.4,1420.0,,0.0,12.7,340.0,358.0,8.8,340.0,214.0,4.9,4270.0,-6.5,51.0,2343.0,63.0,3.8,1023.4,1029.3,1011,1026.8,506.0,1028.0,9.7,,1200.0,1.89,,,,,,,2.9,2.5,-0.6,-5.0,,,,,,,,,,1.6,2.2,,8.6,10.79
51,YC,5,7,I,14.5,7.9,602.0,21.0,1502.0,,0.0,10.9,250.0,1526.0,6.9,230.0,1522.0,3.3,2846.0,3.9,21.0,1937.0,53.9,8.4,1008.4,1016.0,1,1011.8,1545.0,1014.0,14.0,12.0,,,,,,,,,,,21.0,2.2,,,,,,,,,,,,,,
52,YB,2,1,A,1.2,-1.5,1.0,4.2,1237.0,,0.0,15.3,320.0,21.0,10.8,320.0,14.0,4.9,4230.0,-8.5,35.0,1606.0,48.6,3.3,1017.2,1023.3,36,1020.1,2218.0,1021.7,10.3,,1500.0,1.39,,,,,,,3.1,3.1,0.3,-3.5,,,,,,,,,,1.8,2.5,,5.7,8.74
53,YA,12,20,F,7.8,4.1,2355.0,11.4,1555.0,,0.0,5.0,320.0,543.0,3.4,340.0,550.0,1.4,1237.0,-2.2,31.0,1347.0,49.6,5.2,1012.4,1024.4,2317,1020.2,354.0,1022.6,9.8,0.2,,,,,,,,,6.4,4.1,4.0,-4.2,,,,,,,,,,,,,,
54,YC,2,9,A,-4.6,-6.3,1242.0,-2.8,1.0,,0.0,15.0,320.0,1831.0,8.9,290.0,1829.0,5.6,4857.0,-13.7,39.0,1636.0,49.0,2.1,1000.4,1020.2,39,1017.4,1611.0,1018.9,10.6,3.9,,,,,,,,,8.4,8.4,-1.6,-5.2,,,,,,,,,,,,,,
55,YA,5,19,E,14.4,11.2,2400.0,18.3,1518.0,,0.0,12.3,110.0,1523.0,7.2,110.0,1343.0,4.4,3827.0,6.8,39.0,1754.0,62.1,9.9,1011.3,1020.5,2206,1013.1,151.0,1017.6,14.2,7.2,1300.0,3.34,20.81,,,,,,4.8,4.5,19.6,8.7,,,,,,,,,,4.0,5.8,,,
56,YA,7,30,I,29.8,25.1,548.0,34.4,1614.0,,0.0,7.5,50.0,1006.0,4.5,70.0,1006.0,2.4,2091.0,21.2,49.0,1619.0,60.6,25.3,999.1,1005.7,821,1002.8,1801.0,1004.5,14.2,12.7,,,,,,,,,,,32.1,22.5,,,,,,,,,,,,,,
57,YA,7,22,E,31.1,26.3,541.0,35.8,1442.0,,0.0,5.4,200.0,1534.0,3.3,200.0,1543.0,1.4,1181.0,21.1,38.0,1310.0,57.3,25.1,1003.0,1009.7,722,1008.1,1502.0,1009.0,14.2,7.5,1400.0,2.45,18.43,,,,,,5.6,2.4,38.4,23.5,,,,,,,,,,4.5,6.5,,,
58,YC,8,30,D,18.1,16.0,610.0,20.6,1714.0,0.5,0.5,3.5,360.0,846.0,2.0,270.0,2157.0,0.9,776.0,12.5,58.0,15.0,71.0,14.7,1006.3,1016.4,1005,1012.7,1639.0,1014.4,13.0,0.3,1400.0,1.52,9.5,,,,,,8.1,5.8,21.6,15.9,23.9,23.6,24.2,25.5,26.8,26.3,25.5,22.5,18.0,1.7,2.5,,,
59,YB,2,5,A,6.4,3.8,10.0,8.7,1327.0,,0.0,12.7,230.0,1338.0,7.6,200.0,1321.0,3.9,3349.0,3.3,70.0,1112.0,80.9,7.8,1013.2,1022.5,1,1015.1,1734.0,1017.6,10.4,,1300.0,1.94,,,,,,,6.9,6.5,4.2,1.9,,,,,,,,,,1.3,1.8,,4.8,10.42
60,YC,10,6,B,18.9,16.2,435.0,23.3,1103.0,0.5,0.5,8.4,70.0,1239.0,4.4,70.0,1312.0,2.3,2029.0,12.2,44.0,1055.0,66.4,14.3,1008.9,1022.6,2,1016.6,1723.0,1019.0,11.6,4.6,1000.0,1.13,5.32,,,,,,8.5,6.1,19.4,13.4,19.6,20.1,20.2,20.7,21.1,22.1,22.6,21.0,18.4,1.6,2.3,,,
61,YB,10,1,F,22.5,21.5,224.0,24.4,1439.0,1.1,1.4,3.6,110.0,1229.0,2.2,290.0,2132.0,0.9,786.0,22.0,92.0,1446.0,97.4,26.4,1009.2,1020.8,953,1017.4,216.0,1018.8,11.9,,,,,,,,,,9.5,4.5,23.1,19.6,,,,,,,,,,,,,0.0,
62,YA,6,11,F,15.9,14.5,2217.0,17.6,2.0,5.1,23.5,7.3,340.0,238.0,3.6,360.0,35.0,2.2,1926.0,15.0,79.0,1855.0,95.0,17.1,992.0,1003.9,3,1000.3,1649.0,1001.7,14.5,0.8,,,,,,,,,9.0,7.4,17.8,12.2,,,,,,,,,,,,,,
63,YA,9,14,H,21.8,20.5,724.0,23.0,1509.0,10.5,47.7,8.8,50.0,1454.0,4.2,50.0,1501.0,2.7,2372.0,21.1,92.0,2316.0,96.3,25.1,1006.6,1016.7,1,1013.1,1558.0,1014.6,12.5,0.1,,,,,,,,,9.6,6.5,23.0,20.5,23.2,23.2,23.7,23.9,25.2,25.0,24.5,20.9,18.4,,,,,
64,YA,7,10,F,23.3,18.7,111.0,28.4,1412.0,,0.0,4.7,200.0,1328.0,2.8,160.0,1508.0,1.1,947.0,21.6,76.0,1359.0,91.4,26.0,1006.8,1018.3,1,1015.1,1725.0,1016.4,14.4,6.9,,,,,,,,,7.5,3.5,25.0,17.9,,,,,,,,,,,,,,
65,YC,6,2,H,18.2,15.4,511.0,22.5,1335.0,,0.0,9.0,200.0,1153.0,7.2,200.0,1152.0,2.9,2514.0,12.6,53.0,1335.0,70.8,14.7,996.6,1007.4,2139,1000.4,1.0,1004.7,14.4,12.7,1200.0,3.32,26.81,,,,,,1.1,0.9,26.3,13.4,25.4,25.0,24.6,24.0,23.8,20.6,18.3,15.5,15.7,4.3,6.2,,,
